14:49:34 INFO  : Launching XSCT server: xsct.bat -n  -interactive C:\Users\dawid\SDUP\astar_pathfinder_co-processor_on_fpga\astar\temp_xsdb_launch_script.tcl
14:49:40 INFO  : Registering command handlers for Vitis TCF services
14:49:52 INFO  : XSCT server has started successfully.
14:50:00 INFO  : Platform repository initialization has completed.
14:50:03 INFO  : plnx-install-location is set to ''
14:50:03 INFO  : Successfully done setting XSCT server connection channel  
14:50:03 INFO  : Successfully done query RDI_DATADIR 
14:50:03 INFO  : Successfully done setting workspace for the tool. 
14:52:29 INFO  : Result from executing command 'getProjects': astar_HW
14:52:29 INFO  : Result from executing command 'getPlatforms': 
14:54:13 INFO  : Result from executing command 'getProjects': astar_HW
14:54:13 INFO  : Result from executing command 'getPlatforms': astar_HW|C:/Users/dawid/SDUP/astar_pathfinder_co-processor_on_fpga/astar/astar_HW/export/astar_HW/astar_HW.xpfm
